Class Time;Attendance Status;Stress Level (GSR);Sleep Hours;Anxiety Level;Mood Score;Risk Level;pre1;pre2;pre3;pre4;pre5;pre6;pre7;pre8;pre9;pre10;pre11;pre12;pre13;pre14;pre15
21:00:00;Present;3.79;6.2;5;4;High;Graduate student;Female;Every night;More than 8 hours;Sometimes (3-4 times a week);Good;Often;Always;Often (3-4 times a week);Severe impact;Every night;Every day;Often (5-6 times a week);Extremely high stress;Poor
15:00:00;Absent;4.82;8.3;1;8;High;Graduate student;Male;Often (5-6 times a week);7-8 hours;Every night;Average;Always;Often;Often (3-4 times a week);Severe impact;Often (5-6 times a week);Often (5-6 times a week);Often (5-6 times a week);High stress;Below Average
15:00:00;Late;3.29;5;2;2;Medium;Graduate student;Male;Sometimes (3-4 times a week);7-8 hours;Often (5-6 times a week);Poor;Often;Often;Always;Severe impact;Often (5-6 times a week);Often (5-6 times a week);Often (5-6 times a week);Extremely high stress;Poor
18:00:00;Present;2.87;7.9;1;9;Low;Third year;Male;Every night;7-8 hours;Often (5-6 times a week);Very good;Sometimes;Often;Always;Major impact;Often (5-6 times a week);Often (5-6 times a week);Every day;Extremely high stress;Below Average
21:00:00;Absent;3.37;8.3;10;10;High;Third year;Female;Often (5-6 times a week);6-7 hours;Every night;Very poor;Often;Often;Often (3-4 times a week);Major impact;Every night;Often (5-6 times a week);Often (5-6 times a week);Extremely high stress;Poor
21:00:00;Present;4.48;6.5;2;9;High;Third year;Male;Every night;7-8 hours;Every night;Poor;Always;Often;Often (3-4 times a week);Major impact;Every night;Every day;Rarely (1-2 times a week);High stress;Below Average
18:00:00;Present;2.92;6;8;1;Medium;Graduate student;Female;Often (5-6 times a week);7-8 hours;Every night;Very good;Often;Often;Often (3-4 times a week);Severe impact;Often (5-6 times a week);Often (5-6 times a week);Every day;High stress;Below Average
18:00:00;Present;3.2;5.8;1;3;Medium;Graduate student;Female;Every night;More than 8 hours;Often (5-6 times a week);Poor;Often;Often;Often (3-4 times a week);Major impact;Often (5-6 times a week);Often (5-6 times a week);Every day;High stress;Below Average
19:00:00;Present;2.35;6.6;5;4;Low;Third year;Male;Every night;7-8 hours;Every night;Poor;Often;Always;Always;Major impact;Often (5-6 times a week);Every day;Often (5-6 times a week);Extremely high stress;Poor
18:00:00;Late;4.09;7.2;6;4;High;Graduate student;Male;Every night;More than 8 hours;Every night;Very good;Never;Always;Always;Major impact;Every night;Every day;Every day;High stress;Poor
17:00:00;Absent;2.92;5.5;9;1;High;Third year;Female;Often (5-6 times a week);7-8 hours;Often (5-6 times a week);Very good;Sometimes;Always;Often (3-4 times a week);Major impact;Often (5-6 times a week);Every day;Often (5-6 times a week);Extremely high stress;Poor
16:00:00;Late;3.29;7.8;3;9;Low;Third year;Male;Often (5-6 times a week);More than 8 hours;Often (5-6 times a week);Very poor;Always;Often;Often (3-4 times a week);Severe impact;Often (5-6 times a week);Often (5-6 times a week);Often (5-6 times a week);High stress;Poor
18:00:00;Present;1.34;7.8;7;7;Low;Graduate student;Male;Often (5-6 times a week);More than 8 hours;Often (5-6 times a week);Very good;Often;Often;Always;Major impact;Often (5-6 times a week);Often (5-6 times a week);Often (5-6 times a week);No stress;Poor
19:00:00;Late;0.51;6.4;4;6;Low;Third year;Male;Often (5-6 times a week);7-8 hours;Every night;Average;Often;Often;Always;Minor impact;Every night;Often (5-6 times a week);Sometimes (3-4 times a week);Low stress;Poor
20:00:00;Late;2.45;6.6;6;7;Low;Third year;Male;Every night;7-8 hours;Often (5-6 times a week);Good;Often;Sometimes;Often (3-4 times a week);Major impact;Every night;Every day;Often (5-6 times a week);High stress;Below Average
18:00:00;Present;2.9;7.2;10;10;Medium;Third year;Female;Often (5-6 times a week);More than 8 hours;Every night;Very good;Always;Always;Always;Major impact;Every night;Every day;Often (5-6 times a week);High stress;Good
18:00:00;Absent;1.89;7;10;6;High;Second year;Female;Often (5-6 times a week);7-8 hours;Often (5-6 times a week);Good;Sometimes;Often;Often (3-4 times a week);Major impact;Sometimes (3-4 times a week);Every day;Every day;Extremely high stress;Poor
16:00:00;Present;0.72;5.5;1;8;Low;Third year;Female;Often (5-6 times a week);7-8 hours;Sometimes (3-4 times a week);Very good;Often;Always;Often (3-4 times a week);Severe impact;Every night;Every day;Every day;Extremely high stress;Poor
18:00:00;Late;4.94;6.6;2;3;High;Third year;Female;Often (5-6 times a week);More than 8 hours;Every night;Very poor;Always;Always;Rarely (1-2 times a month);Major impact;Often (5-6 times a week);Often (5-6 times a week);Often (5-6 times a week);High stress;Below Average
21:00:00;Present;4.62;6.6;9;8;High;Third year;Female;Often (5-6 times a week);More than 8 hours;Often (5-6 times a week);Very poor;Often;Often;Often (3-4 times a week);Severe impact;Every night;Sometimes (3-4 times a week);Every day;Extremely high stress;Below Average
17:00:00;Present;4.04;6.9;7;9;High;Graduate student;Female;Often (5-6 times a week);More than 8 hours;Often (5-6 times a week);Very good;Often;Often;Always;Moderate impact;Often (5-6 times a week);Often (5-6 times a week);Every day;High stress;Poor
16:00:00;Absent;2.92;8.9;8;3;High;Third year;Male;Often (5-6 times a week);7-8 hours;Often (5-6 times a week);Very poor;Often;Often;Often (3-4 times a week);Major impact;Often (5-6 times a week);Every day;Sometimes (3-4 times a week);Extremely high stress;Below Average
20:00:00;Late;1.87;8.9;1;10;Low;Third year;Male;Often (5-6 times a week);More than 8 hours;Every night;Average;Often;Often;Rarely (1-2 times a month);Major impact;Often (5-6 times a week);Often (5-6 times a week);Often (5-6 times a week);Extremely high stress;Poor
18:00:00;Present;4.33;8.9;3;4;High;Graduate student;Male;Often (5-6 times a week);7-8 hours;Often (5-6 times a week);Very poor;Sometimes;Always;Often (3-4 times a week);Minor impact;Every night;Often (5-6 times a week);Every day;Extremely high stress;Below Average
16:00:00;Late;3.27;6.8;5;2;Medium;Graduate student;Male;Often (5-6 times a week);More than 8 hours;Every night;Very poor;Sometimes;Often;Always;Severe impact;Often (5-6 times a week);Every day;Often (5-6 times a week);Extremely high stress;Poor
17:00:00;Absent;1.39;7.1;4;7;High;Third year;Male;Often (5-6 times a week);7-8 hours;Every night;Poor;Sometimes;Often;Always;Minor impact;Often (5-6 times a week);Often (5-6 times a week);Often (5-6 times a week);Extremely high stress;Poor
20:00:00;Late;2.04;5.4;5;2;Medium;Third year;Male;Often (5-6 times a week);More than 8 hours;Often (5-6 times a week);Very good;Sometimes;Often;Always;Major impact;Every night;Often (5-6 times a week);Often (5-6 times a week);High stress;Poor
21:00:00;Absent;0.7;8.6;6;10;High;Third year;Male;Often (5-6 times a week);7-8 hours;Every night;Good;Often;Sometimes;Always;Moderate impact;Sometimes (3-4 times a week);Often (5-6 times a week);Every day;Extremely high stress;Below Average
18:00:00;Late;1.91;8.6;2;4;Low;Graduate student;Female;Often (5-6 times a week);More than 8 hours;Every night;Good;Often;Always;Always;Major impact;Every night;Every day;Every day;Extremely high stress;Poor
17:00:00;Late;1.89;6.2;3;9;Low;Graduate student;Male;Every night;7-8 hours;Often (5-6 times a week);Average;Often;Often;Always;Severe impact;Often (5-6 times a week);Often (5-6 times a week);Every day;High stress;Below Average
18:00:00;Late;4.58;6.2;2;6;High;Graduate student;Female;Often (5-6 times a week);7-8 hours;Often (5-6 times a week);Very good;Often;Often;Often (3-4 times a week);Moderate impact;Often (5-6 times a week);Every day;Often (5-6 times a week);High stress;Below Average
21:00:00;Present;0.55;7.2;6;4;Low;Graduate student;Male;Often (5-6 times a week);7-8 hours;Every night;Very good;Always;Always;Often (3-4 times a week);Severe impact;Often (5-6 times a week);Every day;Often (5-6 times a week);Extremely high stress;Below Average
17:00:00;Absent;2.64;7.5;7;5;High;Second year;Male;Often (5-6 times a week);More than 8 hours;Often (5-6 times a week);Very good;Often;Often;Rarely (1-2 times a month);Severe impact;Sometimes (3-4 times a week);Often (5-6 times a week);Often (5-6 times a week);High stress;Poor
18:00:00;Absent;4.37;5.4;7;4;High;Graduate student;Male;Every night;7-8 hours;Every night;Poor;Sometimes;Always;Often (3-4 times a week);Major impact;Often (5-6 times a week);Every day;Rarely (1-2 times a week);Extremely high stress;Below Average
21:00:00;Present;2.16;8.5;4;7;Low;First year;Male;Every night;6-7 hours;Sometimes (3-4 times a week);Very good;Always;Often;Often (3-4 times a week);Severe impact;Rarely (1-2 times a week);Often (5-6 times a week);Often (5-6 times a week);Extremely high stress;Poor
19:00:00;Present;3.93;8.6;6;1;High;Third year;Female;Often (5-6 times a week);7-8 hours;Often (5-6 times a week);Very good;Always;Often;Always;Severe impact;Often (5-6 times a week);Every day;Every day;Extremely high stress;Below Average
15:00:00;Absent;0.55;6.6;10;8;High;Graduate student;Male;Every night;More than 8 hours;Every night;Very good;Often;Always;Often (3-4 times a week);Major impact;Every night;Often (5-6 times a week);Every day;Extremely high stress;Below Average
22:00:00;Late;3.09;5;4;8;Low;Second year;Male;Sometimes (3-4 times a week);More than 8 hours;Often (5-6 times a week);Very good;Often;Often;Often (3-4 times a week);Moderate impact;Every night;Often (5-6 times a week);Often (5-6 times a week);Extremely high stress;Below Average
20:00:00;Present;2.53;5.9;5;8;Low;Graduate student;Male;Every night;More than 8 hours;Sometimes (3-4 times a week);Very poor;Sometimes;Always;Often (3-4 times a week);Moderate impact;Often (5-6 times a week);Often (5-6 times a week);Sometimes (3-4 times a week);High stress;Poor
17:00:00;Absent;4.84;7.1;7;6;High;Graduate student;Female;Often (5-6 times a week);More than 8 hours;Every night;Very poor;Often;Often;Often (3-4 times a week);Severe impact;Often (5-6 times a week);Often (5-6 times a week);Often (5-6 times a week);High stress;Poor
19:00:00;Late;4.69;6.1;1;2;High;Third year;Male;Every night;More than 8 hours;Every night;Good;Often;Always;Often (3-4 times a week);Severe impact;Often (5-6 times a week);Every day;Sometimes (3-4 times a week);High stress;Average
17:00:00;Absent;4.46;6.3;10;3;High;Graduate student;Female;Often (5-6 times a week);7-8 hours;Often (5-6 times a week);Very poor;Often;Sometimes;Often (3-4 times a week);Major impact;Often (5-6 times a week);Every day;Often (5-6 times a week);Extremely high stress;Poor
17:00:00;Absent;4.29;5.4;1;10;High;Third year;Female;Every night;More than 8 hours;Often (5-6 times a week);Good;Always;Always;Often (3-4 times a week);Minor impact;Often (5-6 times a week);Often (5-6 times a week);Often (5-6 times a week);High stress;Below Average
21:00:00;Present;1.2;5.8;6;10;Low;Graduate student;Male;Every night;More than 8 hours;Every night;Very poor;Often;Always;Often (3-4 times a week);Major impact;Often (5-6 times a week);Sometimes (3-4 times a week);Often (5-6 times a week);Extremely high stress;Average
17:00:00;Late;0.94;5.3;5;5;Low;Third year;Male;Every night;7-8 hours;Often (5-6 times a week);Good;Often;Often;Always;Severe impact;Every night;Sometimes (3-4 times a week);Often (5-6 times a week);High stress;Poor
22:00:00;Present;1.53;6.8;1;9;Low;First year;Male;Every night;More than 8 hours;Often (5-6 times a week);Poor;Always;Sometimes;Often (3-4 times a week);Major impact;Every night;Often (5-6 times a week);Often (5-6 times a week);Extremely high stress;Below Average
19:00:00;Late;2.67;5.4;4;7;Low;Third year;Male;Every night;More than 8 hours;Sometimes (3-4 times a week);Poor;Sometimes;Sometimes;Often (3-4 times a week);Severe impact;Often (5-6 times a week);Every day;Often (5-6 times a week);Extremely high stress;Poor
19:00:00;Present;1.06;5.9;7;9;Low;Third year;Male;Every night;More than 8 hours;Every night;Very poor;Always;Always;Often (3-4 times a week);Severe impact;Often (5-6 times a week);Often (5-6 times a week);Often (5-6 times a week);Low stress;Poor
21:00:00;Absent;1.06;6.9;7;8;High;Graduate student;Male;Every night;More than 8 hours;Every night;Poor;Always;Often;Always;Major impact;Often (5-6 times a week);Often (5-6 times a week);Often (5-6 times a week);High stress;Poor
18:00:00;Late;2;7;4;4;Low;Graduate student;Female;Every night;7-8 hours;Often (5-6 times a week);Very poor;Always;Often;Sometimes (1-2 times a week);Severe impact;Every night;Every day;Often (5-6 times a week);High stress;Poor
21:00:00;Present;2.56;7.2;8;9;Medium;Third year;Female;Every night;More than 8 hours;Every night;Very poor;Often;Always;Often (3-4 times a week);Major impact;Often (5-6 times a week);Often (5-6 times a week);Often (5-6 times a week);High stress;Poor
17:00:00;Late;2.6;6;4;6;Low;Graduate student;Female;Every night;7-8 hours;Often (5-6 times a week);Poor;Often;Always;Often (3-4 times a week);Severe impact;Often (5-6 times a week);Sometimes (3-4 times a week);Often (5-6 times a week);High stress;Poor
15:00:00;Late;2.45;8.7;2;8;Low;Third year;Male;Never;7-8 hours;Every night;Very good;Always;Always;Always;Major impact;Sometimes (3-4 times a week);Often (5-6 times a week);Often (5-6 times a week);High stress;Poor
17:00:00;Absent;4.1;5.4;6;6;High;Graduate student;Male;Often (5-6 times a week);More than 8 hours;Every night;Very good;Often;Rarely;Always;Severe impact;Often (5-6 times a week);Rarely (1-2 times a week);Often (5-6 times a week);No stress;Poor
20:00:00;Absent;1.9;6.2;7;5;High;Graduate student;Female;Often (5-6 times a week);7-8 hours;Often (5-6 times a week);Very poor;Always;Always;Sometimes (1-2 times a week);Major impact;Every night;Every day;Often (5-6 times a week);No stress;Poor
17:00:00;Late;2.28;7.7;9;3;Medium;Second year;Female;Often (5-6 times a week);7-8 hours;Often (5-6 times a week);Very good;Often;Often;Rarely (1-2 times a month);Moderate impact;Sometimes (3-4 times a week);Often (5-6 times a week);Never;High stress;Poor
19:00:00;Present;4.79;8.5;4;4;High;Third year;Male;Often (5-6 times a week);7-8 hours;Often (5-6 times a week);Very poor;Often;Always;Often (3-4 times a week);Severe impact;Rarely (1-2 times a week);Every day;Often (5-6 times a week);Extremely high stress;Below Average
19:00:00;Absent;2.16;8.1;3;1;High;Graduate student;Male;Every night;7-8 hours;Every night;Very poor;Often;Always;Always;Moderate impact;Often (5-6 times a week);Often (5-6 times a week);Sometimes (3-4 times a week);High stress;Poor
19:00:00;Late;3.37;8.6;9;9;Medium;Graduate student;Female;Often (5-6 times a week);7-8 hours;Often (5-6 times a week);Very poor;Often;Sometimes;Sometimes (1-2 times a week);Major impact;Often (5-6 times a week);Often (5-6 times a week);Sometimes (3-4 times a week);High stress;Poor
19:00:00;Late;4.72;7.4;4;3;High;Third year;Male;Every night;More than 8 hours;Every night;Very good;Rarely;Sometimes;Always;Major impact;Sometimes (3-4 times a week);Often (5-6 times a week);Every day;Extremely high stress;Poor
18:00:00;Late;4.66;7.8;8;7;High;Graduate student;Male;Every night;More than 8 hours;Often (5-6 times a week);Very good;Often;Often;Often (3-4 times a week);Moderate impact;Often (5-6 times a week);Often (5-6 times a week);Often (5-6 times a week);High stress;Below Average
15:00:00;Present;1.65;7.3;8;7;Medium;Graduate student;Male;Often (5-6 times a week);More than 8 hours;Often (5-6 times a week);Very poor;Always;Sometimes;Often (3-4 times a week);Severe impact;Often (5-6 times a week);Often (5-6 times a week);Often (5-6 times a week);High stress;Below Average
16:00:00;Present;0.96;8;8;4;Medium;Graduate student;Male;Sometimes (3-4 times a week);7-8 hours;Often (5-6 times a week);Good;Often;Sometimes;Always;Major impact;Often (5-6 times a week);Often (5-6 times a week);Often (5-6 times a week);High stress;Below Average
15:00:00;Present;2.76;8.5;6;8;Low;Third year;Male;Often (5-6 times a week);7-8 hours;Often (5-6 times a week);Very poor;Always;Always;Often (3-4 times a week);Severe impact;Often (5-6 times a week);Often (5-6 times a week);Often (5-6 times a week);High stress;Poor
17:00:00;Absent;3.39;8.4;6;3;High;Third year;Female;Often (5-6 times a week);7-8 hours;Often (5-6 times a week);Poor;Often;Always;Always;Severe impact;Every night;Sometimes (3-4 times a week);Every day;Extremely high stress;Poor
19:00:00;Late;4.3;8.8;9;10;High;Graduate student;Female;Every night;7-8 hours;Every night;Very poor;Often;Always;Always;Major impact;Every night;Often (5-6 times a week);Often (5-6 times a week);Extremely high stress;Poor
18:00:00;Late;3.95;8.8;4;8;High;Graduate student;Male;Every night;More than 8 hours;Often (5-6 times a week);Very good;Often;Often;Always;Major impact;Often (5-6 times a week);Sometimes (3-4 times a week);Often (5-6 times a week);Extremely high stress;Poor
21:00:00;Absent;4.96;5.6;1;8;High;Third year;Male;Often (5-6 times a week);7-8 hours;Every night;Very poor;Often;Often;Often (3-4 times a week);Major impact;Often (5-6 times a week);Often (5-6 times a week);Every day;Extremely high stress;Poor
16:00:00;Present;1.55;8.2;10;7;Medium;Third year;Male;Every night;6-7 hours;Often (5-6 times a week);Average;Often;Always;Often (3-4 times a week);Severe impact;Often (5-6 times a week);Every day;Every day;High stress;Poor
18:00:00;Absent;1.27;7.7;8;2;High;Third year;Female;Often (5-6 times a week);More than 8 hours;Sometimes (3-4 times a week);Very good;Often;Often;Always;Moderate impact;Every night;Often (5-6 times a week);Every day;Extremely high stress;Poor
19:00:00;Late;1.64;6.1;1;9;Low;Graduate student;Male;Sometimes (3-4 times a week);More than 8 hours;Often (5-6 times a week);Good;Often;Rarely;Always;Severe impact;Every night;Often (5-6 times a week);Often (5-6 times a week);High stress;Poor
16:00:00;Present;4.11;7.2;7;8;High;Graduate student;Male;Sometimes (3-4 times a week);7-8 hours;Sometimes (3-4 times a week);Poor;Often;Always;Always;Severe impact;Often (5-6 times a week);Often (5-6 times a week);Often (5-6 times a week);Extremely high stress;Poor
20:00:00;Present;4.52;5;9;8;High;Third year;Female;Every night;More than 8 hours;Often (5-6 times a week);Very poor;Often;Sometimes;Often (3-4 times a week);Moderate impact;Often (5-6 times a week);Often (5-6 times a week);Often (5-6 times a week);Extremely high stress;Below Average
17:00:00;Present;1.55;7.8;6;9;Low;Third year;Male;Every night;7-8 hours;Every night;Very poor;Often;Always;Often (3-4 times a week);Severe impact;Often (5-6 times a week);Every day;Often (5-6 times a week);Extremely high stress;Poor
17:00:00;Absent;2.69;9;1;6;High;Third year;Female;Often (5-6 times a week);7-8 hours;Often (5-6 times a week);Very poor;Often;Sometimes;Sometimes (1-2 times a week);Major impact;Often (5-6 times a week);Often (5-6 times a week);Every day;Extremely high stress;Average
16:00:00;Present;3.76;7.9;1;3;High;Third year;Male;Every night;7-8 hours;Often (5-6 times a week);Very poor;Often;Always;Often (3-4 times a week);Major impact;Often (5-6 times a week);Often (5-6 times a week);Often (5-6 times a week);High stress;Below Average
19:00:00;Present;2.64;8.4;7;5;Low;Graduate student;Male;Every night;More than 8 hours;Often (5-6 times a week);Average;Often;Sometimes;Often (3-4 times a week);Major impact;Often (5-6 times a week);Often (5-6 times a week);Often (5-6 times a week);High stress;Below Average
22:00:00;Absent;4.16;6.1;10;4;High;Third year;Male;Every night;7-8 hours;Often (5-6 times a week);Very good;Sometimes;Always;Always;Severe impact;Often (5-6 times a week);Often (5-6 times a week);Every day;High stress;Poor
19:00:00;Present;0.59;6.2;3;4;Low;Graduate student;Male;Every night;7-8 hours;Often (5-6 times a week);Good;Often;Often;Rarely (1-2 times a month);Major impact;Every night;Every day;Every day;High stress;Poor
18:00:00;Late;4.23;5.4;2;3;High;Graduate student;Male;Often (5-6 times a week);7-8 hours;Every night;Very good;Sometimes;Often;Often (3-4 times a week);Major impact;Often (5-6 times a week);Often (5-6 times a week);Often (5-6 times a week);High stress;Below Average
19:00:00;Late;4.79;7.1;6;6;High;Graduate student;Female;Every night;7-8 hours;Every night;Good;Always;Often;Often (3-4 times a week);Severe impact;Often (5-6 times a week);Sometimes (3-4 times a week);Often (5-6 times a week);High stress;Below Average
17:00:00;Present;3.82;5.3;5;6;High;Third year;Male;Every night;6-7 hours;Every night;Very poor;Sometimes;Often;Always;Major impact;Sometimes (3-4 times a week);Every day;Every day;High stress;Below Average
16:00:00;Late;1.82;6;4;9;Low;Third year;Male;Every night;More than 8 hours;Often (5-6 times a week);Very good;Often;Always;Often (3-4 times a week);Major impact;Often (5-6 times a week);Every day;Every day;Extremely high stress;Poor
15:00:00;Late;0.67;8.5;10;8;Medium;Graduate student;Male;Every night;More than 8 hours;Every night;Poor;Often;Often;Often (3-4 times a week);Major impact;Often (5-6 times a week);Often (5-6 times a week);Every day;Low stress;Below Average
17:00:00;Absent;1.72;6.7;7;9;High;Graduate student;Female;Every night;More than 8 hours;Often (5-6 times a week);Good;Always;Often;Always;Severe impact;Every night;Often (5-6 times a week);Often (5-6 times a week);High stress;Poor
15:00:00;Present;1.96;6.7;10;4;Medium;Graduate student;Female;Every night;7-8 hours;Often (5-6 times a week);Poor;Sometimes;Often;Often (3-4 times a week);Severe impact;Often (5-6 times a week);Every day;Sometimes (3-4 times a week);Extremely high stress;Below Average
16:00:00;Absent;1.94;6.1;7;5;High;Third year;Female;Often (5-6 times a week);7-8 hours;Every night;Poor;Often;Often;Often (3-4 times a week);Severe impact;Every night;Often (5-6 times a week);Rarely (1-2 times a week);Low stress;Poor
19:00:00;Absent;4.09;5.5;8;2;High;Third year;Male;Every night;7-8 hours;Every night;Very good;Often;Always;Always;Moderate impact;Every night;Every day;Every day;High stress;Below Average
17:00:00;Absent;0.57;7.1;1;5;High;Graduate student;Male;Often (5-6 times a week);7-8 hours;Often (5-6 times a week);Very poor;Often;Rarely;Rarely (1-2 times a month);Major impact;Often (5-6 times a week);Every day;Often (5-6 times a week);High stress;Below Average
21:00:00;Present;2.75;8;4;6;Low;First year;Male;Often (5-6 times a week);7-8 hours;Every night;Very poor;Always;Always;Often (3-4 times a week);Severe impact;Often (5-6 times a week);Every day;Often (5-6 times a week);Low stress;Poor
20:00:00;Late;3.56;5.2;1;3;High;Graduate student;Male;Sometimes (3-4 times a week);More than 8 hours;Often (5-6 times a week);Very good;Often;Often;Always;Major impact;Often (5-6 times a week);Rarely (1-2 times a week);Every day;Extremely high stress;Poor
17:00:00;Late;4.75;7.7;1;4;High;Second year;Female;Often (5-6 times a week);7-8 hours;Often (5-6 times a week);Very poor;Often;Always;Often (3-4 times a week);Major impact;Every night;Often (5-6 times a week);Often (5-6 times a week);High stress;Average
20:00:00;Present;3.89;5;6;2;High;Graduate student;Female;Every night;4-5 hours;Often (5-6 times a week);Good;Sometimes;Often;Often (3-4 times a week);Major impact;Often (5-6 times a week);Sometimes (3-4 times a week);Often (5-6 times a week);High stress;Poor
20:00:00;Late;4.28;8.1;10;3;High;Graduate student;Female;Every night;7-8 hours;Often (5-6 times a week);Good;Always;Sometimes;Often (3-4 times a week);Major impact;Every night;Every day;Every day;Extremely high stress;Below Average
20:00:00;Late;1.01;8.7;4;8;Low;Graduate student;Male;Every night;More than 8 hours;Often (5-6 times a week);Average;Always;Often;Sometimes (1-2 times a week);Severe impact;Often (5-6 times a week);Sometimes (3-4 times a week);Every day;Extremely high stress;Poor
18:00:00;Late;2.7;5.8;3;2;Medium;Third year;Male;Every night;7-8 hours;Often (5-6 times a week);Poor;Always;Often;Often (3-4 times a week);Major impact;Every night;Often (5-6 times a week);Every day;High stress;Poor
22:00:00;Absent;4.87;6;4;1;High;Graduate student;Male;Often (5-6 times a week);More than 8 hours;Every night;Very good;Often;Sometimes;Often (3-4 times a week);Severe impact;Sometimes (3-4 times a week);Every day;Every day;Extremely high stress;Below Average
19:00:00;Present;1.55;7.2;4;7;Low;Third year;Male;Often (5-6 times a week);More than 8 hours;Often (5-6 times a week);Average;Always;Always;Sometimes (1-2 times a week);Major impact;Often (5-6 times a week);Every day;Every day;Low stress;Poor
21:00:00;Late;3.71;8.9;5;6;High;Graduate student;Male;Often (5-6 times a week);7-8 hours;Often (5-6 times a week);Good;Always;Often;Always;Major impact;Rarely (1-2 times a week);Sometimes (3-4 times a week);Often (5-6 times a week);Extremely high stress;Poor
16:00:00;Present;2.99;7.1;6;4;Low;Third year;Male;Every night;7-8 hours;Every night;Very poor;Always;Often;Sometimes (1-2 times a week);Moderate impact;Often (5-6 times a week);Often (5-6 times a week);Every day;Extremely high stress;Below Average
17:00:00;Present;1.74;8.8;6;4;Low;Third year;Male;Often (5-6 times a week);7-8 hours;Every night;Poor;Always;Often;Always;Severe impact;Rarely (1-2 times a week);Often (5-6 times a week);Every day;Extremely high stress;Below Average
19:00:00;Present;1.01;8.9;2;6;Low;Third year;Male;Every night;7-8 hours;Often (5-6 times a week);Very good;Always;Often;Always;Severe impact;Often (5-6 times a week);Often (5-6 times a week);Often (5-6 times a week);High stress;Below Average
17:00:00;Present;4.21;6.4;1;1;High;Graduate student;Male;Often (5-6 times a week);7-8 hours;Often (5-6 times a week);Very poor;Often;Sometimes;Sometimes (1-2 times a week);Major impact;Often (5-6 times a week);Often (5-6 times a week);Often (5-6 times a week);Extremely high stress;Poor
17:00:00;Absent;1.1;8.9;5;2;High;Graduate student;Male;Every night;7-8 hours;Often (5-6 times a week);Average;Sometimes;Always;Always;Severe impact;Often (5-6 times a week);Every day;Often (5-6 times a week);High stress;Poor
16:00:00;Late;0.84;6.4;1;2;Medium;Graduate student;Female;Sometimes (3-4 times a week);7-8 hours;Often (5-6 times a week);Very poor;Often;Often;Rarely (1-2 times a month);Minor impact;Often (5-6 times a week);Rarely (1-2 times a week);Every day;High stress;Average
19:00:00;Absent;4.95;6.9;6;6;High;Third year;Male;Often (5-6 times a week);7-8 hours;Often (5-6 times a week);Good;Often;Always;Always;Moderate impact;Every night;Every day;Rarely (1-2 times a week);Extremely high stress;Good
